Usuario,Problemas1,Penalización1,Agregado1,Problemas2,Penalizacion2,Agregado2
eddycael,5,122,0,4,149,2
CiroR1,5,150,0,0,0,0
wilmerCastrillon,4,205,3,4,161,1
mavd09,5,275,0,5,246,2
Weheineman,4,64,2,4,456,0
MarcoReus,5,314,0,3,89,0
osdajigu,5,324,0,4,116,0
cyrstaalroo,5,365,0,-1,0,0
xjeojx,5,451,0,0,0,0
abraham14,5,471,0,4,151,0
Franco1010,4,352,0,-1,0,0
abacaba,4,362,0,4,212,0
jjsuarestra99,4,502,0,4,434,0
@alex_rangi,3,149,0,2,134,0
Manuel Coronel,3,184,0,2,158,0
Veg8sebastian,2,27,1,3,230,0
Opensource,3,291,0,1,43,0
Jarlin Andres- ID 29,2,71,0,1,140,0
Ch1558,2,75,0,-1,0,0
Mackenzie,2,149,0,2,134,0
Abracadabra,2,151,0,2,184,0
Jhoser Pacheco,2,226,0,1,144,0
CarlosGonzalez,1,10,0,-1,0,0
ReddyTintaya,1,45,0,1,92,0
karen24,1,97,0,-1,0,0
Solo,0,0,0,0,0,0
Alfred ,0,0,0,0,0,0
UnPonyEstresadoySolitario,-1,0,0,4,358,0
Najiluc,-1,0,0,-1,0,0
CumbiaCoders,-1,0,0,-1,0,0
AbdulLaiseca,-1,0,0,-1,0,0
drexx,-1,0,0,-1,0,0
fryzito,-1,0,0,-1,0,0
ElBró,-1,0,0,-1,0,0
abcde,-1,0,0,4,353,0
Manuel Hernandez,-1,0,0,4,152,0
Osvaldo,0,0,0,2,207,0
Adrian,0,0,0,0,0,0
